Id,Name,Description,Address,ContactNumber,AdminUserId
ba5b760e-bcb2-4661-b377-69437d5b8887,Maslak Astsubay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Maslak Astsubay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Maslak Astsubay Orduevi içerisinde konaklamak isteyenler için; Maslak Astsubay Orduevi Fiyatları, Maslak Astsubay Orduevi Resimleri, Maslak Astsubay Orduevi Rezervasyon, Maslak Astsubay Askeri Gazino ve Maslak Astsubay Orduevi Yorumları ‘na yer verdik.","Darüşşafaka Mahallesi, Büyükdere Caddesi Sarıyer – İstanbul",0212 346 24 24,admin-123
a968318c-bf87-476d-8124-765248338d5c,Şemsipaşa Orduevi Askeri Gazinosu,"Türk Silahlı Kuvvetlerine bağlı Şemsipaşa Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Şemsipaşa Orduevi içerisinde konaklamak isteyenler için; Şemsipaşa Orduevi Fiyatları, Şemsipaşa Orduevi Resimleri, Şemsipaşa Orduevi Rezervasyon, Şemsipaşa Askeri Gazino ve Şemsipaşa Orduevi Yorumları ‘na yer verdik.","Aziz Mahmut Hüdayi Mahallesi, Öğdül Sokak Üsküdar – İstanbul",0216 532 75 78,admin-123
865e232e-bad2-4713-b401-60d2d9827092,Girne Orduevi,"Türk Silahlı Kuvvetlerine bağlı Girne Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Girne Orduevi içerisinde konaklamak isteyenler için; Girne Orduevi Fiyatları, Girne Orduevi Resimleri, Girne Orduevi Rezervasyon, Girne Askeri Gazino ve Girne Orduevi Yorumları ‘na yer verdik.",29 Ekim Sokak Girne – Kıbrıs,0392 815 94 59,admin-123
395717f4-55e0-4067-80fe-38bcf5f39613,Kalender Orduevi,"Türk Silahlı Kuvvetlerine bağlı Kalender Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Kalender Orduevi içerisinde konaklamak isteyenler için; Kalender Orduevi Fiyatları, Kalender Orduevi Resimleri, Kalender Orduevi Rezervasyon, Kalender Askeri Gazino ve Kalender Orduevi Yorumları ‘na yer verdik.","Köybaşı Cadddesi, Yeniköy Sokak   Sarıyer – İstanbul",,admin-123
f146281d-3c7a-42a4-b5e5-c8ec8ca340ee,Kasımpaşa Orduevi,"Türk Silahlı Kuvvetlerine bağlı Kasımpaşa Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Kasımpaşa Orduevi içerisinde konaklamak isteyenler için; Kasımpaşa Orduevi Fiyatları, Kasımpaşa Orduevi Resimleri, Kasımpaşa Orduevi Rezervasyon, Kasımpaşa Askeri Gazino ve Kasımpaşa Orduevi Yorumları ‘na yer verdik.","Bedrettin Mahallesi, Bahriye Caddesi Beyoğlu – İstanbul",0212 254 31 50,admin-123
e1c627dc-ce4d-4477-8d2a-fde6f9696c97,Gelibolu Orduevi (Kamp),"Türk Silahlı Kuvvetlerine bağlı Gelibolu Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Gelibolu Orduevi içerisinde konaklamak isteyenler için; Gelibolu Orduevi Fiyatları, Gelibolu Orduevi Resimleri, Gelibolu Orduevi Rezervasyon ve Gelibolu Orduevi Yorumları ‘na yer verdik.","Yazıcızade Mahallesi, Muhittin Reis Caddesi, Güneyli – Gelibolu – Çanakkale",0286 566 80 02,admin-123
5f7159da-b009-4b98-8946-72d22db0dcb9,Eskişehir Subay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Eskişehir Subay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Eskişehir Subay Orduevi içerisinde konaklamak isteyenler için; Eskişehir Subay Orduevi Fiyatları, Eskişehir Subay Orduevi Resimleri, Eskişehir Subay Orduevi Rezervasyon, Eskişehir Subay Askeri Gazino ve Eskişehir Subay Orduevi Yorumları ‘na yer verdik.","Cumhuriyet Mahallesi, İsmet İnönü Caddesi Tepebaşı – Eskişehir",0222 230 15 07,admin-123
0e987497-3cd2-48b1-a0f6-9516201ac861,Çanakkale Astsubay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Çanakkale Astsubay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Çanakkale Astsubay Orduevi içerisinde konaklamak isteyenler için; Çanakkale Astsubay Orduevi Fiyatları, Çanakkale Astsubay Orduevi Resimleri, Çanakkale Astsubay Orduevi Rezervasyon ve Çanakkale Astsubay Orduevi Yorumları ‘na yer verdik.","Cevat Paşa Mahallesi, Nara Yolu Sk Merkez – Çanakkale",0286 217 48 78,admin-123
7e21cb08-c04c-4dda-876f-490f1a0b84e3,Hakkari Orduevi,"Türk Silahlı Kuvvetlerine bağlı Hakkari Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Hakkari Orduevi içerisinde konaklamak isteyenler için; Hakkari Orduevi Fiyatları, Hakkari Orduevi Resimleri, Hakkari Orduevi Rezervasyon, Hakkari Askeri Gazino ve Hakkari Orduevi Yorumları ‘na yer verdik.","Bulak Mahallesi, Atatürk Caddesi Merkez – Hakkari",0438 263 12 33,admin-123
96f0afa7-fc81-472e-83c3-31ecf894abe5,Düzce Orduevi,"Türk Silahlı Kuvvetlerine bağlı Düzce Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Düzce Orduevi içerisinde konaklamak isteyenler için; Düzce Orduevi Fiyatları, Düzce Orduevi Resimleri, Düzce Orduevi Rezervasyon, Düzce Askeri Gazino ve Düzce Orduevi Yorumları ‘na yer verdik.","Kültür Mahallesi,  Stadyum Sokak,  No5 Merkez – Düzce",0380 514 80 10,admin-123
